,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
22,2,1.3374947645725348,1.2838189601898193,0.23202490175412066,0.16434536763782584,0.1055952834629783,0.040912951167728306,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
23,3,1.1909425090520809,1.1854325532913208,0.5969454391457764,0.29909888237309773,0.5178766235102814,0.2543658576931257,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
24,4,0.9497740620221847,1.1060833930969238,0.6050444739716133,0.4265844670225767,0.5856373557137933,0.4058673585506851,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
25,5,0.782719537233695,1.3086631298065186,0.6045708503372639,0.4266787102329636,0.5075915566631415,0.371685799195851,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
26,6,0.6347075318678831,1.2005475759506226,0.6547846921373386,0.504414277156582,0.6313157599322372,0.49180412238491034,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
27,7,0.49634981843141407,1.435962438583374,0.6305905895944128,0.43574673467179076,0.5795409090909092,0.4047817692069319,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
28,1,1.3663560182620318,1.3143309354782104,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
29,2,1.3581584416902983,1.3526712656021118,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
30,3,1.347839823135963,1.3509961366653442,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
31,4,1.348644277988336,1.3459006547927856,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
32,5,1.3449422396146333,1.3258007764816284,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
33,6,1.3406203771248841,1.34321928024292,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
34,7,1.3043603897094727,1.32120680809021,0.3673121010870792,0.22722163002139795,0.30854168467097,0.18786366130141485,2e-05,0.85,0.1,1e-07,0:00:16,0:00:17
35,1,1.3587073729588435,1.3117185831069946,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
36,2,1.3327488562999628,1.322450876235962,0.029431502778314377,0.10019949955034474,0.005899982826341077,0.007707223201770086,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
37,3,1.2496708234151204,1.1848974227905273,0.5234307739879444,0.3275381793079504,0.49799965845487293,0.2705257872462521,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
38,4,0.9732592640778958,1.2108426094055176,0.5638537264145463,0.35819060467914443,0.5023551784371236,0.3192674306522437,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
39,5,0.7680792670983535,1.0962885618209839,0.6213395348645012,0.47460397821489314,0.6179018286814244,0.4472146203441718,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
40,6,0.5708612211239643,1.1685696840286255,0.6404737826245663,0.46727583897663727,0.6384013400685737,0.43549189296727353,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
41,7,0.4156576272768852,1.3756484985351562,0.6105842529213853,0.42321310081560876,0.6026695670378938,0.40090615619867476,2e-05,0.85,0.1,1e-08,0:00:16,0:00:17
42,1,1.3732331563264897,1.3300628662109375,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:16,0:00:17
43,2,1.3328065566527538,1.3099757432937622,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:16,0:00:17
44,3,1.2533029852769313,1.1998510360717773,0.4464130674321037,0.25465239643242227,0.4185144092411637,0.21640951649562112,2e-05,0.9,0.1,1e-06,0:00:16,0:00:17
45,4,1.0224205347207875,1.1055840253829956,0.5994019500170309,0.4514222785128739,0.581943135842155,0.40500760672324354,2e-05,0.9,0.1,1e-06,0:00:16,0:00:17
46,5,0.9010845269912329,1.0503783226013184,0.6093691121053009,0.4452220627210164,0.6027664616010512,0.37125246259777256,2e-05,0.9,0.1,1e-06,0:00:16,0:00:17
