,epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Weight Decay,Dropout,Epsilon,Training Time,Validation Time
24,4,0.8722249621000046,1.230055570602417,0.6138983958171524,0.42182020974548273,0.5596250671895542,0.3730527738038468,2e-05,0.85,0.1,1e-06,0:00:16,0:00:17
25,5,0.7391490699389042,1.1809954643249512,0.6287381854573384,0.46759154537149955,0.6166917699764416,0.4577103744463831,2e-05,0.85,0.1,1e-06,0:00:17,0:00:18
26,6,0.6006343769721496,1.4331860542297363,0.6341235740334108,0.4919945901423726,0.5683480460012358,0.4629140530428084,2e-05,0.85,0.1,1e-06,0:00:19,0:00:21
27,7,0.4908863542935787,1.355526089668274,0.629309705147021,0.4444813410003349,0.6124197788543639,0.43621744124677897,2e-05,0.85,0.1,1e-06,0:00:19,0:00:20
28,1,1.3408832672314765,1.3383322954177856,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:19,0:00:20
29,2,1.346630762784909,1.3134154081344604,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:19,0:00:20
30,3,1.3288178535608144,1.2840476036071777,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-07,0:00:19,0:00:20
31,4,1.216190544458536,1.2490521669387817,0.5599095381121002,0.35496964754997506,0.4530355791067372,0.2847044796457162,2e-05,0.85,0.1,1e-07,0:00:19,0:00:20
32,5,0.9641020542536026,1.1003782749176025,0.6356890174495498,0.4287225566050023,0.602889389281946,0.40411643087787763,2e-05,0.85,0.1,1e-07,0:00:19,0:00:20
33,6,0.7677395313214033,1.1492241621017456,0.5988671484592828,0.4060607503143876,0.5838661469845188,0.3747565958734803,2e-05,0.85,0.1,1e-07,0:00:19,0:00:21
34,7,0.5664683824930435,1.3148285150527954,0.6233516014156147,0.4462105593931741,0.6062835563502416,0.4238643670122164,2e-05,0.85,0.1,1e-07,0:00:19,0:00:21
35,1,1.3598602062616594,1.3546793460845947,0.0,0.0,0.0,0.0,2e-05,0.85,0.1,1e-08,0:00:19,0:00:20
36,2,1.3355380327273638,1.2346022129058838,0.41543049015711286,0.22624900872423379,0.3566364072247654,0.13152254471886704,2e-05,0.85,0.1,1e-08,0:00:19,0:00:20
37,3,1.0926154653231304,1.0489624738693237,0.6256452459533881,0.4480409189696214,0.6199559552384499,0.4007617754647962,2e-05,0.85,0.1,1e-08,0:00:19,0:00:20
38,4,0.8366989821959765,1.1338480710983276,0.600123282585303,0.36161986870962337,0.5901834877766627,0.3388585501659708,2e-05,0.85,0.1,1e-08,0:00:19,0:00:21
39,5,0.6608070654746814,1.2596094608306885,0.6393435144955283,0.4346552011362747,0.6167213747827767,0.4250902171773505,2e-05,0.85,0.1,1e-08,0:00:19,0:00:21
40,6,0.472454010676115,1.3667858839035034,0.6256027765621307,0.4164470368515495,0.6038101507471529,0.4108779679734953,2e-05,0.85,0.1,1e-08,0:00:19,0:00:21
41,7,0.323459974084145,1.4238404035568237,0.6209118724500646,0.3944896342914833,0.610737826269315,0.388379332970362,2e-05,0.85,0.1,1e-08,0:00:19,0:00:20
42,1,1.354569918070084,1.3258323669433594,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-06,0:00:19,0:00:21
43,2,1.336594453224769,1.3812860250473022,0.006364944819976525,-0.0036104643425294287,0.004918606990880758,-0.0013604881266491287,2e-05,0.9,0.1,1e-06,0:00:19,0:00:21
44,3,1.3219157701883562,1.3202732801437378,0.19239084251078767,0.10887979001021687,0.18570972640360706,0.07671246242125995,2e-05,0.9,0.1,1e-06,0:00:19,0:00:21
45,4,1.1783372133206098,1.1691645383834839,0.49872048608936437,0.36822091667348456,0.49455714055829536,0.30981885076266646,2e-05,0.9,0.1,1e-06,0:00:19,0:00:20
46,5,0.9853329169444549,1.2837579250335693,0.524930184901377,0.34281376497955274,0.4666770606188104,0.31331789422363077,2e-05,0.9,0.1,1e-06,0:00:19,0:00:20
47,6,0.8047427168259254,1.2713496685028076,0.5673054438940989,0.3914048020698913,0.5379140397962971,0.3792108992367551,2e-05,0.9,0.1,1e-06,0:00:19,0:00:20
48,7,0.5872172927245115,1.4225481748580933,0.5670469919245043,0.4208242849565137,0.5333120321996838,0.4025182585601822,2e-05,0.9,0.1,1e-06,0:00:19,0:00:20
49,1,1.3531474364109528,1.3256850242614746,0.24947936814383045,0.16102977777118627,0.22205924482896922,0.08877164812478489,2e-05,0.9,0.1,1e-07,0:00:19,0:00:20
50,2,1.1893588166970472,1.324998378753662,0.5322766278924157,0.3585099599378937,0.4266014112105685,0.2890199681852763,2e-05,0.9,0.1,1e-07,0:00:19,0:00:21
51,3,0.9801504642535479,1.2055541276931763,0.6329668134715908,0.4364836215569492,0.5577119929620021,0.37895403260451754,2e-05,0.9,0.1,1e-07,0:00:19,0:00:21
52,4,0.7985480748690091,1.256210207939148,0.6168815337255329,0.4206412619744521,0.5599014033074234,0.38269086953565845,2e-05,0.9,0.1,1e-07,0:00:19,0:00:20
53,5,0.6346874168285956,1.2368651628494263,0.6412650281462373,0.4600221681960642,0.6164443719494599,0.4439136718845693,2e-05,0.9,0.1,1e-07,0:00:19,0:00:21
54,6,0.5206470711108966,1.2726798057556152,0.6393660607310678,0.42341145256155716,0.6329699389718724,0.40698096320843713,2e-05,0.9,0.1,1e-07,0:00:19,0:00:21
55,7,0.46090649106563664,1.5865917205810547,0.6282569621148818,0.4417593079251393,0.5623016854782729,0.413211506961507,2e-05,0.9,0.1,1e-07,0:00:19,0:00:21
56,1,1.3544319745821831,1.3149629831314087,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-08,0:00:19,0:00:20
57,2,1.3417193981317372,1.3213506937026978,0.0,0.0,0.0,0.0,2e-05,0.9,0.1,1e-08,0:00:19,0:00:21
58,3,1.3328241690611229,1.3221096992492676,-0.056097907047515126,0.02311575227441793,-0.017046571735518823,0.0020717534108134483,2e-05,0.9,0.1,1e-08,0:00:19,0:00:21
59,4,1.2892456849416096,1.2554980516433716,0.28382943930628995,0.30437108161897636,0.20513770722995128,0.12442393875099877,2e-05,0.9,0.1,1e-08,0:00:19,0:00:21
60,5,1.0903684894243877,1.2379910945892334,0.5983353126445848,0.4010182443472674,0.526702842857224,0.3403237639705392,2e-05,0.9,0.1,1e-08,0:00:19,0:00:20
61,6,0.8122049340834985,1.0839641094207764,0.5990764428650396,0.46606192062453244,0.5883085574389155,0.3733848851324012,2e-05,0.9,0.1,1e-08,0:00:19,0:00:20
62,7,0.5758547064585563,1.3124432563781738,0.6141017430310958,0.4484127284649077,0.5625567227239229,0.426061588330632,2e-05,0.9,0.1,1e-08,0:00:19,0:00:20
63,1,1.3533407021791508,1.3132075071334839,0.0,0.0,0.0,0.0,2e-05,0.95,0.1,1e-06,0:00:19,0:00:20
64,2,1.3274177465683374,1.283752202987671,0.1490964113017745,0.13259304663566268,0.0615676046820256,0.02885531644564454,2e-05,0.95,0.1,1e-06,0:00:19,0:00:20
65,3,1.207592710470542,1.2651952505111694,0.5435027782447172,0.34327618348020394,0.468985923535468,0.28015634346397467,2e-05,0.95,0.1,1e-06,0:00:19,0:00:20
66,4,0.9960887569647568,1.1362589597702026,0.5962917425464669,0.4274732043159353,0.5649070425392568,0.3949805548353642,2e-05,0.95,0.1,1e-06,0:00:19,0:00:21
67,5,0.7736843320039603,1.3242316246032715,0.5605761403241195,0.36096958778072447,0.49227095556916045,0.3286599928229368,2e-05,0.95,0.1,1e-06,0:00:19,0:00:21
68,6,0.5984789660343757,1.2541121244430542,0.6453756168944681,0.43732496910691904,0.6127590047610225,0.4052658249684633,2e-05,0.95,0.1,1e-06,0:00:19,0:00:20
69,7,0.495797105324574,1.3384417295455933,0.6443845689341235,0.4935009339905312,0.6360624883381965,0.4744919831947184,2e-05,0.95,0.1,1e-06,0:00:19,0:00:20
70,1,1.3496414912052643,1.3268953561782837,0.0,0.0,0.0,0.0,2e-05,0.95,0.1,1e-07,0:00:19,0:00:21
71,2,1.3488900997699835,1.3142995834350586,0.09895265334654996,0.11467870506765396,0.02097816262539476,0.011832680359333492,2e-05,0.95,0.1,1e-07,0:00:19,0:00:21
72,3,1.3043704980458968,1.3870813846588135,0.2301383704791014,0.19406592518704802,0.19357234891957154,0.16627956505316288,2e-05,0.95,0.1,1e-07,0:00:19,0:00:21
73,4,1.2033951588166065,1.2122552394866943,0.4200330429699343,0.31253665945354525,0.40813087234028234,0.22905031660561415,2e-05,0.95,0.1,1e-07,0:00:19,0:00:21
74,5,1.0339355239501367,1.0869983434677124,0.5508239432681663,0.4696520506283781,0.5232659603859104,0.3335922869969825,2e-05,0.95,0.1,1e-07,0:00:19,0:00:21
75,6,0.8663946191469828,1.2714523077011108,0.5703546961926833,0.3645857815559397,0.5273296108805701,0.33741680118523765,2e-05,0.95,0.1,1e-07,0:00:19,0:00:20
76,7,0.681990772485733,1.3583624362945557,0.5793449106562107,0.4298419080851791,0.5442974042935271,0.4203744129126149,2e-05,0.95,0.1,1e-07,0:00:19,0:00:20
77,1,1.3567253320645063,1.3214879035949707,0.0,0.0,0.0,0.0,2e-05,0.95,0.1,1e-08,0:00:19,0:00:20
78,2,1.3422532203869941,1.3239110708236694,0.0,0.0,0.0,0.0,2e-05,0.95,0.1,1e-08,0:00:19,0:00:20
79,3,1.2891804835735223,1.210893154144287,0.49138958396940724,0.3125533207943069,0.4739532995509651,0.2666899491225425,2e-05,0.95,0.1,1e-08,0:00:19,0:00:20
80,4,1.0275687009860308,1.1909321546554565,0.5410087120391404,0.34691924641593164,0.48564185089628753,0.297679120802503,2e-05,0.95,0.1,1e-08,0:00:19,0:00:21
81,5,0.7746579815179874,1.2174580097198486,0.5763115022578048,0.433336139428216,0.5625916653264426,0.40304301546553123,2e-05,0.95,0.1,1e-08,0:00:19,0:00:21
82,6,0.5479525427023569,1.5326716899871826,0.5919344822007352,0.42330498276950895,0.5519839100406763,0.41419354838709677,2e-05,0.95,0.1,1e-08,0:00:19,0:00:21
83,7,0.3818578540514677,1.6442062854766846,0.6182975505725364,0.470197731101803,0.5872451831322021,0.46936167560154596,2e-05,0.95,0.1,1e-08,0:00:19,0:00:21
84,1,1.3640304803848267,1.318634271621704,0.0,0.0,0.0,0.0,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
85,2,1.3018621603647869,1.2035999298095703,0.43639639577311407,0.23230916654330175,0.4253910184923544,0.18125008737470472,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
86,3,1.1304853787788978,1.0859020948410034,0.5748918365091781,0.42622484798820676,0.5421995179833716,0.3082317520928183,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
87,4,0.978191098341575,1.1567400693893433,0.5869520574000489,0.4264564398573321,0.5504973962693076,0.39384260956070993,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
88,5,0.8470489306327624,1.0866771936416626,0.6468877109344991,0.4570765975080415,0.639191621288808,0.4361099503180573,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
89,6,0.699952041491484,1.2122722864151,0.6197601857792353,0.4369826821079958,0.5822449237661681,0.4063378817556107,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
90,7,0.6001189832503979,1.3411178588867188,0.6118584247917761,0.4445776691136239,0.5703831016460661,0.4094466361019298,2e-05,0.8,0.2,1e-06,0:00:19,0:00:21
91,1,1.3698490521846673,1.3327791690826416,0.0,0.0,0.0,0.0,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
92,2,1.361689750964825,1.3122828006744385,0.0,0.0,0.0,0.0,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
93,3,1.335739906017597,1.2986336946487427,0.0,0.0,0.0,0.0,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
94,4,1.313611742777702,1.2730554342269897,0.18741949002343644,0.0973746412538642,0.1384947687474195,0.041002206443652045,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
95,5,1.2523869703977535,1.3663530349731445,0.29241717394829103,0.2018585665311793,0.2629064565309758,0.16792744903323786,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
96,6,1.1196908767406757,1.3073052167892456,0.3952618314021588,0.2920329846745482,0.3719525144870689,0.26280921186928197,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
97,7,0.9862809364612286,1.2235801219940186,0.4467996094164577,0.3048154315792645,0.4360104391240215,0.2693067164380968,2e-05,0.8,0.2,1e-07,0:00:19,0:00:20
98,1,1.338041895475143,1.2219074964523315,0.45890847576279675,0.32873446042826926,0.40657416010969605,0.19974936169215984,2e-05,0.8,0.2,1e-08,0:00:19,0:00:21
99,2,1.1326136054136815,1.1768096685409546,0.5795470119514823,0.37377458055692436,0.528130264565173,0.32836439703748377,2e-05,0.8,0.2,1e-08,0:00:19,0:00:20
100,3,0.931010827040061,1.115734338760376,0.6068239328593602,0.4025783467763899,0.5825183690656602,0.37417055401226473,2e-05,0.8,0.2,1e-08,0:00:19,0:00:20
101,4,0.736345356855637,1.2034387588500977,0.6015507066008515,0.3793120309684767,0.5899493705345585,0.3710094682792945,2e-05,0.8,0.2,1e-08,0:00:19,0:00:20
102,5,0.5876264037230076,1.37631094455719,0.5770304647580347,0.3794454349149108,0.5256773519287502,0.3691811492995062,2e-05,0.8,0.2,1e-08,0:00:19,0:00:20
103,6,0.4688566839083647,1.5720590353012085,0.6346983111663574,0.4513937547607815,0.5784823883527238,0.43306371505605223,2e-05,0.8,0.2,1e-08,0:00:19,0:00:21
104,7,0.35340009324061566,1.5441257953643799,0.6343229788103729,0.4210380095611048,0.6114597297497348,0.4171312649841824,2e-05,0.8,0.2,1e-08,0:00:19,0:00:21
105,1,1.356169309371557,1.3183530569076538,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
106,2,1.3553486634523442,1.311708688735962,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
107,3,1.3469487306399224,1.3242506980895996,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
108,4,1.329618527339055,1.2310103178024292,0.5233628370666441,0.4456711762770345,0.503509226882602,0.3288314812262745,2e-05,0.85,0.2,1e-06,0:00:19,0:00:21
109,5,1.093775707941789,1.216610312461853,0.5784175950326533,0.3466460994574072,0.5093756153362899,0.2919706697796586,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
110,6,0.9364619896962092,1.0849465131759644,0.6020509395801004,0.467485077547309,0.5954528243871324,0.3851808860514606,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
111,7,0.7646788687278063,1.2010610103607178,0.6121500142506718,0.3536959788036176,0.5896554269984073,0.35196611105995035,2e-05,0.85,0.2,1e-06,0:00:19,0:00:20
112,1,1.3650999191479805,1.3277432918548584,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
113,2,1.356718463775439,1.3366070985794067,-0.03985944436670618,-0.0847931852371675,-0.03371795823821522,-0.03629063959369572,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
114,3,1.3649759751099806,1.340341567993164,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
115,4,1.375917645601126,1.3091903924942017,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
116,5,1.3697878061196742,1.3112754821777344,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
117,6,1.3534961816592095,1.3053536415100098,0.0,0.0,0.0,0.0,2e-05,0.85,0.2,1e-07,0:00:19,0:00:20
