epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
5,0.9121574820616306,1.0909425478715162,0.48328232785274655,0.38707322088050444,0.47619232411036505,0.29963006738606535,0.001,0.1,50,0:00:00,0:00:00
6,0.8886498778294294,1.2458927539678721,0.49464821323076985,0.35559491173074353,0.4312117495334732,0.32473471562402867,0.001,0.1,50,0:00:00,0:00:00
7,0.8310545912155738,1.2249315931246831,0.4928775418682853,0.3591969253354575,0.4564103916441671,0.3208878072879976,0.001,0.1,50,0:00:00,0:00:00
8,0.7634453666515839,1.1586107153158922,0.5250599451193612,0.38115034492453825,0.5207500603589343,0.3370562164683928,0.001,0.1,50,0:00:00,0:00:00
9,0.7276308972101945,1.237782216989077,0.4795206311966643,0.4212913549932722,0.46218228153712027,0.3736023509174312,0.001,0.1,50,0:00:00,0:00:00
10,0.686945229004591,1.290464685513423,0.4722017690555837,0.4296867872992345,0.4353928500027262,0.4025548850943639,0.001,0.1,50,0:00:00,0:00:00
1,1.3788999380209508,1.374636750954848,0.1663955074953529,0.12400757427584197,0.1408178575090805,0.12224672757998445,0.0001,0.1,50,0:00:00,0:00:00
2,1.3505341211954753,1.346721621660086,0.15257116322284553,0.1463854538234569,0.13640000107026573,0.0757468801210135,0.0001,0.1,50,0:00:00,0:00:00
3,1.3244077486869617,1.3205788227228017,0.1863454192067139,0.15202915893746913,0.1400553797890446,0.06253989955199502,0.0001,0.1,50,0:00:00,0:00:00
4,1.2972245124670176,1.3009826311698327,0.23510639172616046,0.16034791189119874,0.17439677207994186,0.06841984306773041,0.0001,0.1,50,0:00:00,0:00:00
5,1.2657924462587407,1.280233804996197,0.2635263554629618,0.15245500372208232,0.20996439460598737,0.07328052364262305,0.0001,0.1,50,0:00:00,0:00:00
6,1.2356942555843256,1.2620642643708448,0.2597532248918255,0.17622901338430244,0.21760731868358085,0.08965540880215705,0.0001,0.1,50,0:00:00,0:00:00
7,1.1965736059042125,1.2418161447231586,0.3310943199742042,0.2847549172435022,0.29701127354574197,0.164119848390347,0.0001,0.1,50,0:00:00,0:00:00
8,1.159764173703316,1.2226075117404644,0.33283389593993323,0.25956068519797965,0.3134804440437765,0.16643820973603796,0.0001,0.1,50,0:00:00,0:00:00
9,1.1226729215719762,1.2160695057648878,0.37966385855646273,0.3082884364894754,0.36885089528239323,0.22042775501544742,0.0001,0.1,50,0:00:00,0:00:00
