epoch,Training Loss,Valid. Loss,Pearson,Pearson Some,Kappa,Kappa Some,Learning Rate,Dropout,Hidden Size,Training Time,Validation Time
9,1.3919149072546708,1.3911645687543428,0.0028051376916998433,0.0041475621373101845,0.0016034350097657857,0.001922548750343367,1e-06,0.1,25,0:00:00,0:00:00
10,1.3904004096984863,1.3896379654224102,-0.013640283118354364,-0.009965642326551385,-0.0074402475692998404,-0.004144791378833945,1e-06,0.1,25,0:00:00,0:00:00
1,1.419604180151956,1.654641018464015,0.04520207893153833,0.05355069004932188,0.01476171458325981,0.004876318822590653,0.1,0.1,50,0:00:00,0:00:00
2,1.462800171291619,1.3031438176448529,-0.008173723819306818,0.12410386938895208,-0.0058554043039562576,0.024445863358569797,0.1,0.1,50,0:00:00,0:00:00
3,1.3886253875598573,1.4941934805649977,-0.007100196653936047,-0.022275081208247387,-0.005355188712193426,-0.005429186558082888,0.1,0.1,50,0:00:00,0:00:00
4,1.2534263092174864,1.4035825179173396,0.0032113800023379335,-0.03897470746771295,0.0019231047995477146,-0.006917265859652355,0.1,0.1,50,0:00:00,0:00:00
5,1.4807218480528446,1.564802857545706,-0.054487475031484635,-0.019293589516914053,-0.03240054699746975,-0.002298240961725373,0.1,0.1,50,0:00:00,0:00:00
6,1.295305572058025,1.3097432805941656,-0.0011987520258727978,0.06255955915890883,-0.0008378832518975976,0.012682926829268193,0.1,0.1,50,0:00:00,0:00:00
7,1.2863492631075675,1.403352609047523,0.047426428403715,0.11476491536295128,0.046637151604881466,0.0523410547067521,0.1,0.1,50,0:00:00,0:00:00
8,1.4668598206419694,2.3332019402430606,0.07519601888353428,-0.016486301969266506,0.057603866076483934,-0.013974931566056892,0.1,0.1,50,0:00:00,0:00:00
9,1.66469960097681,2.1920985533640933,0.052532668235970234,0.03844919765284125,0.05220925573655699,0.02282993529483579,0.1,0.1,50,0:00:00,0:00:00
10,1.5732521121962029,1.6132733088273268,-0.02986288933693955,-0.006969027358490648,-0.027395592044673345,-0.004514163186999154,0.1,0.1,50,0:00:00,0:00:00
1,1.0230824811416759,1.1368509943668659,0.19093748236834066,0.25610444769788937,0.11541376923837454,0.06382219048469162,0.01,0.1,50,0:00:00,0:00:00
2,0.9327505596897059,1.0658226792628949,0.14275567814450874,0.2366835164779716,0.11378051621922491,0.07365517241379316,0.01,0.1,50,0:00:00,0:00:00
3,0.8983496317737981,1.1033506255883436,0.22724175712287198,0.2258319327383207,0.22104500998399157,0.1456802897051216,0.01,0.1,50,0:00:00,0:00:00
4,0.8268300551071501,1.1610848078360925,0.17382186985503978,0.20613160550332654,0.1486287279342019,0.07770488773907425,0.01,0.1,50,0:00:00,0:00:00
5,0.7827427643432951,1.1436365934518666,0.13941423626808117,0.09992238863643133,0.11289068164142313,0.03361344537815114,0.01,0.1,50,0:00:00,0:00:00
6,0.7545255370307387,1.1475620086376483,0.26348451975355475,0.2884518538493317,0.25401890721680387,0.14975390093203478,0.01,0.1,50,0:00:00,0:00:00
7,0.6888032613093393,1.1739006088330195,0.27889082551639366,0.2975846597366679,0.2678726930531756,0.15256188831318362,0.01,0.1,50,0:00:00,0:00:00
8,0.6725548108418783,1.224246621131897,0.28524060810539204,0.26457236567159814,0.2795444694014265,0.14835230677052125,0.01,0.1,50,0:00:00,0:00:00
9,0.6448789806219569,1.2315931778687697,0.21434591745037015,0.253131501670348,0.2077892406534233,0.1261281337047353,0.01,0.1,50,0:00:00,0:00:00
10,0.6149580248615198,1.308229583960313,0.20872013515217577,0.20089762592973073,0.20110610014645658,0.09851983422143273,0.01,0.1,50,0:00:00,0:00:00
1,1.057954492276175,1.0257289638886085,0.032361591334182635,-0.0016174095542117242,0.010277657659469641,-0.0001749934377461848,0.001,0.1,50,0:00:00,0:00:00
2,0.9209125611865729,1.029810226880587,0.1929170930242816,0.2238359705605862,0.1513118387343445,0.07674144037780406,0.001,0.1,50,0:00:00,0:00:00
3,0.8275453568550578,0.9959900791828449,0.32784260854791486,0.26810225947331884,0.24466701587702966,0.10109890109890107,0.001,0.1,50,0:00:00,0:00:00
4,0.7635946059436128,0.945301904128148,0.381978894273374,0.31694092638530186,0.32405717628773256,0.14355231143552316,0.001,0.1,50,0:00:00,0:00:00
5,0.6750657077421222,1.017377766279074,0.3233406229231595,0.253648134647352,0.2933654135338346,0.12473572938689215,0.001,0.1,50,0:00:00,0:00:00
6,0.6200575933121798,1.048287075299483,0.3975153704623307,0.23642202084905684,0.38108703192628457,0.14101575410377887,0.001,0.1,50,0:00:00,0:00:00
7,0.5622809780271429,1.0414560712300813,0.35173256517610985,0.11823901072382025,0.31909112126162775,0.06257614353749041,0.001,0.1,50,0:00:00,0:00:00
8,0.49682050786520304,1.0568252435097327,0.40285589861953774,0.24235273171706334,0.4009614612067811,0.17589576547231278,0.001,0.1,50,0:00:00,0:00:00
9,0.4504342714422627,1.0790764368497407,0.4161179798968649,0.254339340237299,0.4105248656839786,0.16795865633074936,0.001,0.1,50,0:00:00,0:00:00
10,0.40810340799783407,1.0915113274867718,0.4280211344229146,0.260500129605333,0.4246355930904465,0.1782366526287189,0.001,0.1,50,0:00:00,0:00:00
1,1.3643435950864826,1.2796103679216826,-0.02753255271157115,0.04052409874218391,-0.027159562429271977,0.022435497943412708,0.0001,0.1,50,0:00:00,0:00:00
2,1.226811450824403,1.1510861286750207,0.06928921414300193,-0.06192357713113752,0.02262788851872255,-0.00853864626878953,0.0001,0.1,50,0:00:00,0:00:00
3,1.0789692182289927,1.0459644198417664,0.07369263450254344,0.02806917158109567,0.01094780353296887,0.0019208940888850723,0.0001,0.1,50,0:00:00,0:00:00
4,1.0021263580573232,1.0146616330513587,0.07369263450254344,0.02806917158109567,0.005493038728489941,0.000959441779328496,0.0001,0.1,50,0:00:00,0:00:00
5,0.9515908904242933,1.0029686597677379,0.07632951474895189,-0.0016174095542117242,0.01779155129931176,-0.0001749934377461848,0.0001,0.1,50,0:00:00,0:00:00
6,0.9105817163199709,1.0026185925190265,0.06972776912684708,0.09950937653211732,0.03020240042569111,0.014833669797243987,0.0001,0.1,50,0:00:00,0:00:00
7,0.8838172753651937,0.9829510771311246,0.09765448091844121,0.12338016191697616,0.05201460261806823,0.02392132541862313,0.0001,0.1,50,0:00:00,0:00:00
8,0.8530467037569013,0.9673949938554031,0.18248271917426975,0.1883033147530443,0.1311618333715323,0.05807737609857744,0.0001,0.1,50,0:00:00,0:00:00
