epoch,Training Loss,Valid. Loss,Learning Rate,Weight Decay,Drop out Rate,Pearson,Pearson Some,Kappa,Kappa Some,Pearson (Anger),Pearson some (Anger),Kappa (Anger),Kappa some (Anger),Pearson (Fear),Pearson some (Fear),Kappa (Fear),Kappa some (Fear),Pearson (Joy),Pearson some (Joy),Kappa (Joy),Kappa some (Joy),Pearson (Sadness),Pearson some (Sadness),Kappa (Sadness),Kappa some (Sadness),Training Time,Validation Time
4,0.57142534,1.5555036690000001,5e-05,0.8,0.1,0.408569384,0.30624394899999996,0.39867809200000004,0.250918745,0.40230397100000004,0.18784047899999998,0.399990819,0.151731242,0.22838941899999998,0.146739561,0.21884918399999997,0.114660115,0.570684324,0.545011686,0.542995007,0.449365012,0.43289982299999996,0.34538407200000004,0.432877358,0.28791861,00:03:56,00:04:17
5,0.41743982399999996,1.865659895,5e-05,0.8,0.1,0.45621298600000004,0.347996914,0.415485834,0.320987582,0.449331279,0.21636352399999997,0.40409787399999997,0.20825167600000002,0.361425686,0.204634598,0.286460752,0.193391445,0.509364069,0.532261292,0.499650999,0.466726263,0.504730908,0.43872824299999996,0.471733712,0.415580942,00:03:56,00:04:17
1,1.210213424,1.363659916,5e-05,0.9,0.1,0.357470069,0.30573264699999997,0.325777004,0.26443687899999996,0.423900454,0.261768858,0.38599090799999997,0.234909072,0.242759239,0.187824463,0.20004660300000002,0.163959783,0.353702046,0.41783683899999996,0.331659645,0.339131014,0.409518536,0.35550042600000004,0.385410861,0.319747646,00:03:56,00:04:18
2,0.9684226090000001,1.362138611,5e-05,0.9,0.1,0.377734946,0.29174635600000004,0.354799816,0.24991328100000001,0.387061218,0.148554771,0.368093027,0.13518049699999998,0.25014701100000003,0.223435355,0.215774188,0.189070075,0.487498737,0.525220395,0.46018663,0.435920831,0.386232819,0.269774905,0.37514541799999995,0.239481721,00:03:56,00:04:18
3,0.705491113,1.557123604,5e-05,0.9,0.1,0.417359335,0.305043507,0.37112455299999997,0.261802225,0.522223317,0.298456579,0.47510457,0.29058949,0.357892196,0.18620505399999998,0.284477212,0.176690947,0.30558021,0.42505729600000003,0.267318227,0.281935074,0.483741618,0.310455098,0.457598204,0.29799339,00:03:56,00:04:18
4,0.505649574,1.7036448219999998,5e-05,0.9,0.1,0.466783335,0.330804084,0.447686935,0.296566483,0.50269365,0.248620405,0.49053083399999997,0.23215780800000002,0.34077142200000005,0.21692341199999998,0.300139738,0.200858872,0.547086001,0.558424054,0.529780724,0.475115015,0.476582265,0.299248464,0.470296444,0.278134235,00:03:56,00:04:18
5,0.39677848,1.9230005380000001,5e-05,0.9,0.1,0.466036145,0.366449834,0.428736469,0.33859716100000004,0.484032187,0.268481454,0.444741299,0.258876717,0.329368277,0.23816020100000002,0.266368655,0.229786297,0.541792582,0.589566842,0.530896626,0.5068884260000001,0.508951534,0.369590838,0.472939295,0.358837203,00:03:56,00:04:18
1,1.229068687,1.210877228,5e-05,0.95,0.1,0.362172865,0.307727582,0.34334635700000005,0.211994126,0.441377508,0.285017456,0.432139636,0.197184285,0.203797427,0.163912007,0.20037495,0.102439024,0.371151897,0.45954400700000003,0.32248545,0.312350238,0.432364628,0.322436858,0.41838539399999997,0.236002956,00:03:56,00:04:18
2,0.991422183,1.295781612,5e-05,0.95,0.1,0.41403201100000003,0.305374357,0.391445172,0.236002879,0.47144472600000004,0.261907917,0.46474369,0.211383475,0.308232315,0.238796989,0.285844683,0.190035216,0.36546519200000005,0.38047011399999997,0.31431095,0.25734751899999997,0.51098581,0.340322406,0.500881365,0.285245307,00:03:56,00:04:17
3,0.719415192,1.575755941,5e-05,0.95,0.1,0.396314316,0.33080114899999996,0.364543722,0.292618064,0.411750544,0.266768739,0.37783191,0.23951811,0.25457292600000003,0.22331711399999998,0.210645723,0.194032135,0.5054802589999999,0.547318887,0.479743617,0.47946903399999996,0.413453533,0.285799855,0.38995363899999996,0.25745297699999997,00:03:56,00:04:17
